"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"CTA|IT","25.08.2017 19:00 - 25.08.2017 20:00 (CET)","430","n/e","242","10580","3589","380","n/e","n/e","641","1035","","5446","1848","n/e","n/e","10095","n/e","156","47","n/e","446"
"CTA|IT","25.08.2017 20:00 - 25.08.2017 21:00 (CET)","431","n/e","238","10815","3812","382","n/e","n/e","643","1187","","5742","2054","n/e","n/e","10198","n/e","0","48","n/e","310"
"CTA|IT","25.08.2017 21:00 - 25.08.2017 22:00 (CET)","437","n/e","236","10773","3505","358","n/e","n/e","643","877","","5034","1676","n/e","n/e","9498","n/e","0","47","n/e","311"
"CTA|IT","25.08.2017 22:00 - 25.08.2017 23:00 (CET)","438","n/e","239","10571","3286","400","n/e","n/e","648","66","1","3533","1198","n/e","n/e","9191","n/e","0","48","n/e","279"
"CTA|IT","25.08.2017 23:00 - 26.08.2017 00:00 (CET)","437","n/e","239","10162","3158","349","n/e","n/e","649","67","","2952","889","n/e","n/e","8446","n/e","0","50","n/e","228"
"CTA|IT","26.08.2017 00:00 - 26.08.2017 01:00 (CET)","439","n/e","238","8526","3087","213","n/e","n/e","650","0","317","2812","803","n/e","n/e","7839","n/e","0","48","n/e","214"
"CTA|IT","26.08.2017 01:00 - 26.08.2017 02:00 (CET)","437","n/e","237","7835","2689","194","n/e","n/e","652","0","647","2498","823","n/e","n/e","7869","n/e","0","49","n/e","183"
"CTA|IT","26.08.2017 02:00 - 26.08.2017 03:00 (CET)","441","n/e","237","7501","2746","192","n/e","n/e","653","0","651","2177","307","n/e","n/e","7565","n/e","0","48","n/e","191"
"CTA|IT","26.08.2017 03:00 - 26.08.2017 04:00 (CET)","430","n/e","237","7102","2850","194","n/e","n/e","653","0","682","2077","375","n/e","n/e","7000","n/e","0","48","n/e","197"
"CTA|IT","26.08.2017 04:00 - 26.08.2017 05:00 (CET)","427","n/e","237","7293","2866","195","n/e","n/e","654","0","681","2032","269","n/e","n/e","6510","n/e","0","49","n/e","209"
"CTA|IT","26.08.2017 05:00 - 26.08.2017 06:00 (CET)","421","n/e","237","7337","2852","194","n/e","n/e","655","0","681","2036","283","n/e","n/e","6609","n/e","0","49","n/e","211"
"CTA|IT","26.08.2017 06:00 - 26.08.2017 07:00 (CET)","419","n/e","240","7685","2853","199","n/e","n/e","656","0","684","2041","337","n/e","n/e","6812","n/e","27","47","n/e","230"
"CTA|IT","26.08.2017 07:00 - 26.08.2017 08:00 (CET)","419","n/e","242","7669","2917","194","n/e","n/e","655","0","360","2254","411","n/e","n/e","6976","n/e","952","48","n/e","228"
"CTA|IT","26.08.2017 08:00 - 26.08.2017 09:00 (CET)","419","n/e","250","7183","3074","194","n/e","n/e","654","67","","2709","878","n/e","n/e","6893","n/e","3289","46","n/e","183"
"CTA|IT","26.08.2017 09:00 - 26.08.2017 10:00 (CET)","414","n/e","262","6697","3137","194","n/e","n/e","654","48","","2855","789","n/e","n/e","6546","n/e","5761","45","n/e","196"
"CTA|IT","26.08.2017 10:00 - 26.08.2017 11:00 (CET)","411","n/e","238","6606","3207","194","n/e","n/e","653","49","","2649","934","n/e","n/e","6612","n/e","7477","43","n/e","243"
"CTA|IT","26.08.2017 11:00 - 26.08.2017 12:00 (CET)","414","n/e","239","6294","3202","194","n/e","n/e","635","45","","2540","728","n/e","n/e","6593","n/e","8568","45","n/e","309"
"CTA|IT","26.08.2017 12:00 - 26.08.2017 13:00 (CET)","413","n/e","243","6249","3124","66","n/e","n/e","637","45","","2226","584","n/e","n/e","6494","n/e","9178","43","n/e","407"
"CTA|IT","26.08.2017 13:00 - 26.08.2017 14:00 (CET)","413","n/e","240","6040","3042","59","n/e","n/e","644","45","","2079","380","n/e","n/e","6024","n/e","9055","44","n/e","555"
"CTA|IT","26.08.2017 14:00 - 26.08.2017 15:00 (CET)","408","n/e","238","6147","3001","59","n/e","n/e","646","46","137","2084","382","n/e","n/e","6122","n/e","8822","44","n/e","765"
"CTA|IT","26.08.2017 15:00 - 26.08.2017 16:00 (CET)","404","n/e","234","6600","3024","59","n/e","n/e","642","137","143","2185","419","n/e","n/e","6347","n/e","7735","46","n/e","990"
"CTA|IT","26.08.2017 16:00 - 26.08.2017 17:00 (CET)","408","n/e","239","7351","3079","59","n/e","n/e","642","193","1","2325","535","n/e","n/e","7206","n/e","6377","44","n/e","1204"
"CTA|IT","26.08.2017 17:00 - 26.08.2017 18:00 (CET)","408","n/e","244","8335","3119","62","n/e","n/e","645","213","","2696","802","n/e","n/e","7681","n/e","4256","45","n/e","1166"
"CTA|IT","26.08.2017 18:00 - 26.08.2017 19:00 (CET)","410","n/e","249","8884","3143","84","n/e","n/e","645","340","","3458","1381","n/e","n/e","8439","n/e","1662","46","n/e","924"
"CTA|IT","26.08.2017 19:00 - 26.08.2017 20:00 (CET)","411","n/e","244","9056","3201","108","n/e","n/e","646","874","","4436","1693","n/e","n/e","8885","n/e","166","46","n/e","566"
"CTA|IT","26.08.2017 20:00 - 26.08.2017 21:00 (CET)","415","n/e","243","9382","3293","111","n/e","n/e","648","1690","","4680","1623","n/e","n/e","9159","n/e","0","47","n/e","418"
"CTA|IT","26.08.2017 21:00 - 26.08.2017 22:00 (CET)","417","n/e","236","9255","3253","106","n/e","n/e","653","367","","4344","1626","n/e","n/e","8638","n/e","0","46","n/e","307"
"CTA|IT","26.08.2017 22:00 - 26.08.2017 23:00 (CET)","418","n/e","249","9127","3095","78","n/e","n/e","654","109","","3355","1070","n/e","n/e","8250","n/e","0","49","n/e","241"
"CTA|IT","26.08.2017 23:00 - 27.08.2017 00:00 (CET)","418","n/e","241","9128","3077","76","n/e","n/e","643","43","","2741","577","n/e","n/e","8014","n/e","0","46","n/e","213"
"CTA|IT","27.08.2017 00:00 - 27.08.2017 01:00 (CET)","420","n/e","250","6815","3161","59","n/e","n/e","636","96","106","2794","992","n/e","n/e","7490","n/e","0","48","n/e","194"
"CTA|IT","27.08.2017 01:00 - 27.08.2017 02:00 (CET)","422","n/e","238","6274","3140","59","n/e","n/e","652","0","138","2633","546","n/e","n/e","6788","n/e","0","47","n/e","212"
